FILEID,STUSAB,SUMLEV,GEOID,GEOCODE,REGION,DIVISION,STATE,COUNTY,COUSUB,TRACT,BLKGRP,GEOID_20_BG,P0020001,P0020005,P0020006,P0020002,P0020008,P0020007,P0020009,P0020010,P0020011,P0040001,P0040005,P0040006,P0040002,P0040008,P0040007,P0040009,P0040010,P0040011,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010,H0010001,H0010002,H0010003
field concept,State/US-Abbreviation (USPS),Summary Level,Geographic Record Identifier,Geographic Code Identifier,Region,Division,State (FIPS),County (FIPS),County Subdivision (FIPS),Census Tract,Block Group,GEOID 2020 block group,Total:,White alone,Black or African American alone,Hispanic or Latino,Asian alone,American Indian and Alaska Native alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:,Total:,White alone,Black or African American alone,Hispanic or Latino,Asian alone,American Indian and Alaska Native alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:,Total:,Institutionalized population:,Correctional facilities for adults,Juvenile facilities,Nursing facilities/Skilled-nursing facilities,Other institutional facilities,Noninstitutionalized population:,College/University student housing,Military quarters,Other noninstitutional facilities,Total:,Occupied,Vacant
PLST,MA,150,1500000US250250001011,2.50E+11,1,1,25,25,,101,1,2.50E+11,1052,643,54,113,180,1,0,28,33,975,604,49,100,165,0,0,25,32,0,0,0,0,0,0,0,0,0,0,422,407,15
PLST,MA,150,1500000US250250001012,2.50E+11,1,1,25,25,,101,2,2.50E+11,824,568,29,70,94,6,0,11,46,748,526,21,66,83,6,0,11,35,10,0,0,0,0,0,10,0,0,10,304,290,14
PLST,MA,150,1500000US250250001021,2.50E+11,1,1,25,25,,102,1,2.50E+11,1020,565,42,145,160,3,0,41,64,853,491,31,111,138,3,0,30,49,4,0,0,0,0,0,4,0,0,4,383,365,18
PLST,MA,150,1500000US250250001022,2.50E+11,1,1,25,25,,102,2,2.50E+11,2694,1000,256,409,723,5,2,136,163,2257,914,180,300,635,5,2,107,114,13,7,0,7,0,0,6,0,0,6,1312,1241,71
PLST,MA,150,1500000US250250002011,2.50E+11,1,1,25,25,,201,1,2.50E+11,966,650,25,97,121,0,0,16,57,861,589,25,84,100,0,0,15,48,0,0,0,0,0,0,0,0,0,0,361,354,7
PLST,MA,150,1500000US250250002012,2.50E+11,1,1,25,25,,201,2,2.50E+11,863,624,17,57,107,0,0,31,27,789,594,17,42,89,0,0,24,23,6,6,0,6,0,0,0,0,0,0,322,298,24
PLST,MA,150,1500000US250250002013,2.50E+11,1,1,25,25,,201,3,2.50E+11,1303,865,55,170,106,1,0,48,58,1157,803,38,123,102,1,0,41,49,39,0,0,0,0,0,39,0,0,39,548,528,20
PLST,MA,150,1500000US250250002014,2.50E+11,1,1,25,25,,201,4,2.50E+11,821,573,41,98,87,0,0,6,16,738,532,36,72,79,0,0,5,14,0,0,0,0,0,0,0,0,0,0,377,364,13
PLST,MA,150,1500000US250250002021,2.50E+11,1,1,25,25,,202,1,2.50E+11,828,584,23,72,102,0,0,22,25,748,538,23,65,96,0,0,14,12,12,0,0,0,0,0,12,0,0,12,361,352,9
PLST,MA,150,1500000US250250002022,2.50E+11,1,1,25,25,,202,2,2.50E+11,804,564,13,58,108,0,0,22,39,683,497,13,43,91,0,0,14,25,0,0,0,0,0,0,0,0,0,0,310,292,18
PLST,MA,150,1500000US250250002023,2.50E+11,1,1,25,25,,202,3,2.50E+11,2516,1246,185,648,326,1,0,20,90,2089,1142,139,438,290,1,0,15,64,29,0,0,0,0,0,29,0,0,29,935,895,40
PLST,MA,150,1500000US250250003011,2.50E+11,1,1,25,25,,301,1,2.50E+11,715,475,41,58,96,0,1,10,34,634,427,34,49,86,0,1,10,27,1,0,0,0,0,0,1,0,0,1,272,265,7
PLST,MA,150,1500000US250250003012,2.50E+11,1,1,25,25,,301,2,2.50E+11,831,628,27,66,86,0,0,10,14,765,583,26,56,81,0,0,9,10,99,99,0,0,99,0,0,0,0,0,322,315,7
PLST,MA,150,1500000US250250003013,2.50E+11,1,1,25,25,,301,3,2.50E+11,656,498,9,65,55,0,0,5,24,603,473,5,47,51,0,0,5,22,0,0,0,0,0,0,0,0,0,0,270,266,4
PLST,MA,150,1500000US250250003014,2.50E+11,1,1,25,25,,301,4,2.50E+11,934,617,43,76,166,0,0,5,27,870,584,42,74,142,0,0,5,23,0,0,0,0,0,0,0,0,0,0,473,444,29
PLST,MA,150,1500000US250250003021,2.50E+11,1,1,25,25,,302,1,2.50E+11,1471,1000,39,121,192,0,1,39,79,1345,941,33,100,174,0,1,29,67,8,0,0,0,0,0,8,0,0,8,616,587,29
PLST,MA,150,1500000US250250003022,2.50E+11,1,1,25,25,,302,2,2.50E+11,1601,1022,52,112,358,0,2,13,42,1477,957,52,91,327,0,2,12,36,7,0,0,0,0,0,7,0,0,7,755,736,19
PLST,MA,150,1500000US250250004011,2.50E+11,1,1,25,25,,401,1,2.50E+11,1521,1023,53,109,271,0,0,8,57,1463,1003,50,88,264,0,0,8,50,0,0,0,0,0,0,0,0,0,0,868,839,29
PLST,MA,150,1500000US250250004012,2.50E+11,1,1,25,25,,401,2,2.50E+11,1204,772,25,96,244,3,2,8,54,1132,733,24,87,223,3,2,8,52,0,0,0,0,0,0,0,0,0,0,532,515,17
PLST,MA,150,1500000US250250004013,2.50E+11,1,1,25,25,,401,3,2.50E+11,1056,715,33,98,154,0,0,9,47,917,609,30,85,138,0,0,9,46,0,0,0,0,0,0,0,0,0,0,422,404,18
PLST,MA,150,1500000US250250004014,2.50E+11,1,1,25,25,,401,4,2.50E+11,2072,1207,66,142,573,3,0,17,64,1927,1098,66,120,567,3,0,15,58,0,0,0,0,0,0,0,0,0,0,1232,1199,33
PLST,MA,150,1500000US250250004021,2.50E+11,1,1,25,25,,402,1,2.50E+11,1469,1008,33,90,272,0,0,25,41,1279,866,33,84,246,0,0,17,33,12,0,0,0,0,0,12,0,0,12,734,704,30
PLST,MA,150,1500000US250250004022,2.50E+11,1,1,25,25,,402,2,2.50E+11,967,634,33,73,161,4,0,14,48,884,589,33,65,147,4,0,11,35,119,0,0,0,0,0,119,55,0,64,373,319,54
PLST,MA,150,1500000US250250004023,2.50E+11,1,1,25,25,,402,3,2.50E+11,1208,884,27,57,177,0,0,18,45,1055,776,26,55,150,0,0,10,38,19,0,0,0,0,0,19,0,0,19,514,487,27
PLST,MA,150,1500000US250250005021,2.50E+11,1,1,25,25,,502,1,2.50E+11,1043,737,33,78,145,0,2,16,32,1012,722,33,69,142,0,2,16,28,4,0,0,0,0,0,4,0,0,4,630,604,26
PLST,MA,150,1500000US250250005022,2.50E+11,1,1,25,25,,502,2,2.50E+11,1710,1276,99,152,111,0,15,9,48,1567,1172,94,144,98,0,15,9,35,782,0,0,0,0,0,782,782,0,0,536,471,65
PLST,MA,150,1500000US250250005023,2.50E+11,1,1,25,25,,502,3,2.50E+11,1577,1051,37,114,322,1,0,9,43,1523,1023,37,103,316,0,0,9,35,5,0,0,0,0,0,5,0,0,5,986,949,37
PLST,MA,150,1500000US250250005024,2.50E+11,1,1,25,25,,502,4,2.50E+11,2656,2094,174,187,112,26,5,0,58,2642,2080,174,187,112,26,5,0,58,2656,0,0,0,0,0,2656,2656,0,0,0,0,0
PLST,MA,150,1500000US250250005031,2.50E+11,1,1,25,25,,503,1,2.50E+11,787,523,27,84,113,1,0,2,37,753,507,26,78,107,1,0,2,32,0,0,0,0,0,0,0,0,0,0,428,394,34
