id,notes,original_zip,match_kind,state_code,county_code,tract_code,block_code,RRF Award Amount ,No of months of assistance,Rent owing,RRF Award Type ,Mthly Self Employment,Mthly Unemployment,Mthly Interest or Dividend,Mthly Pension or Retirement,Mthly TANF/Public Assistance,Mthly Alimony income,Mthly Armed Forces income,Mthly Other income
7,,2119,Exact,25,25,81400,3003,6000,,9444,,,,,,,,,
8,,2124,Exact,25,25,100300,3005,5700,3,1900,Arrears & Future payments,,2140,,,,,,
56,,2119,Exact,25,25,80100,1051,3750,6,4375,Arrears,,,,,,,,
63,,2128,Exact,25,25,51200,3000,4000,1,4000,Arrears & Future payments,,,,,,530,,
75,,2128,Exact,25,25,50101,3001,6000,,7900,Arrears,800,,,,,,,
102,,2128,Exact,25,25,50700,3005,6000,,7600,Arrears,,,,,,,,
133,,2128,Exact,25,25,50700,1003,2000,,1404,Future payments,,0,,,,,,
154,,2124,Exact,25,25,100500,5005,2350,,4000,Arrears,,1152,,,,,,
161,,2127,Exact,25,25,60800,3000,3600,3,4800,,,1400,,,,,,
269,,2128,Exact,25,25,50500,1003,4950,3,3300,,,1116,,,,,,
314,,2124,Exact,25,25,100601,3011,6000,3,0,Arrears & Future payments,,1864,,,,,,
410,,2121,Exact,25,25,91900,2002,,,12362,,,,,,,,,
426,,2131,Exact,25,25,110607,3000,4000,3,9116,,,200,,,,,,
440,,2128,Exact,25,25,50901,2003,6000,,4500,Arrears & Future payments,,,,,,384,,
534,,2124,Exact,25,25,92300,3008,6000,,10703,Arrears,,,,,,,,
806,,2126,Exact,25,25,101102,3002,4000,2,0,,,1068,,,,,,
814,,2111,Exact,25,25,70103,1001,4170,3,0,Future payments,,3320,,,,,,
815,,2121,Exact,25,25,90300,2006,3200,2,1600,Arrears & Future payments,,,,,,,,
889,,2119,Exact,25,25,81500,2004,2718,,3618,,0,0,0,0,0,0,0,0
1006,,2128,Exact,25,25,50101,1002,6000,3,7200,Arrears,0,0,0,0,,,,
1012,,2128,Exact,25,25,50300,3002,6000,,6518,Arrears,500,1290,,,,,,
1057,,2125,Exact,25,25,91300,1004,4000,2,4000,,,,,,,,,
