,Revenue Category,Total
0,Property Tax Levy,11065636.0
1,State Aid,1908654.0
2,Excises,593472.0
3,Licenses & Permits,284039.0
4,Department Revenue,257967.0
5,Fines,229280.0
6,Non-Recurring Revenue,215000.0
7,Payments in Lieu of Taxes,208757.0
8,Urban Redev Chapter 121A,142581.0
9,Available Funds,81900.0
10,Interest On Investments,38886.0
11,Penalties & Interest,38423.0
