business_name,DBAName,Address,CITY,State,ZIP,LICSTATUS,LICENSECAT,DESCRIPT,LicenseAddDtTm,dayphn,Property_ID,Latitude,Longitude,Neighborhood
Achilitos Taqueria,,160 Chestnut Hill,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2020-08-27 11:57:08,10000000000,408551.0,0.0,0.0,Jamaica Plain
Achilitos Taqueria,,38 Hyde Park,Jamaica Plain,MA,02130,Active,FS,Eating & Drinking,2018-01-24 11:26:17,16179875465,352202.0,0.0,0.0,Jamaica Plain
Americano Espresso Bar,,155 Meridian,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2007-02-13 08:24:51,16175938079,94405.0,42.373853,-71.038885,East Boston
Athan's European Bakery,,407 Washington,Brighton,MA,02135,Active,FS,Eating & Drinking,2006-12-07 13:36:26,16177830313,352135.0,0.0,0.0,Brighton
Balance Patch,,1031 Commonwealth,Boston,MA,02215,Active,FS,Eating & Drinking,2016-11-16 10:19:46,10000000000,414826.0,0.0,0.0,Fenway/Kenmore
Bambu,,287 Adams,Dorchester,MA,02122,Active,FS,Eating & Drinking,2016-12-12 11:23:18,15088084895,421205.0,0.0,0.0,Dorchester
Billares Colombia,,16 Bennington,East Boston,MA,02128,Active,FS,Eating & Drinking,2013-03-01 12:53:46,16175695740,14624.0,42.37529,-71.0383,East Boston
Blackbird Doughnuts,,100 High,Boston,MA,02110,Active,FT,Eating & Drinking w/ Take Out,2022-04-07 11:15:08,16174829000,342934.0,42.354448,-71.05536,Back Bay
Blackbird Doughnuts,,175 Cambridge,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2020-03-13 10:11:57,16174829000,363091.0,0.0,0.0,Back Bay
Blue Asia Cafe,,101 Brighton,Allston,MA,02134,Active,FS,Eating & Drinking,2009-10-08 10:36:56,17812673366,20067.0,42.353081,-71.130624,Allston
Blunch,,59 EAST SPRINGFIELD,BOSTON,MA,02136,Active,FT,Eating & Drinking w/ Take Out,2007-12-05 15:00:08,16179057709,,0.0,0.0,South End
Boba Me,,1520 Tremont,Mission Hill,MA,02120,Active,FT,Eating & Drinking w/ Take Out,2018-11-20 12:07:02,17815212827,137235.0,42.33221,-71.09977,Mission Hill/Roxbury
