,id,original_zip,match,match_kind,state_code,county_code,tract_code,block_code,Rental Relief Fund: How much rent do you owe due to COVID-19,Rental Relief Fund: How much do you owe on utilities listed?,Rental Relief Fund: Total Monthly Income all sources,Rental Relief Gap,Months of Assistance Awarded,Date of Final Decision,Utility Payments - Amount obtained (),Future Stipend - Amount obtained (),Rental Arrears - Amount obtained (),Moving Costs - Amount obtained (),Total RRF Award
19,162068,2132,Match,Non_Exact,25.0,25.0,130406.0,1001.0,3873.0,0.0,1353,3873,September-21; October-21; November-21,0,338.04,5790.0,0.0,0.0,6128.04
20,162069,2136,Match,Exact,25.0,25.0,140201.0,2003.0,0.0,0.0,1998,0,May-21; June-21; July-21; August-21; September-21,0,547.98,0.0,8171.0,0.0,8718.98
21,162071,2136,Match,Non_Exact,25.0,25.0,81900.0,1010.0,15000.0,0.0,0,15000,February-21; March-21; April-21; May-21; June-21; July-21; August-21,8/17/2021,0.0,0.0,15000.0,0.0,15000.0
22,162072,2136,Match,Non_Exact,25.0,25.0,30400.0,3003.0,0.0,0.0,624,0,August-21; September-21; October-21; November-21; December-21,9/20/2021,639.26,4800.0,3200.0,0.0,8639.26
23,162073,2126,Match,Non_Exact,25.0,25.0,40600.0,1019.0,1410.0,0.0,1871.34,1410,October-21; November-21; December-21,8/31/2021,0.0,4230.0,2820.0,0.0,7050.0
24,162075,2130,Match,Non_Exact,25.0,25.0,140201.0,2008.0,5000.0,0.0,1392,5000,June-21; July-21; August-21; September-21,0,0.0,0.0,7106.0,0.0,7106.0
25,162076,2121,Match,Non_Exact,25.0,25.0,51101.0,2003.0,1000.0,0.0,330,1000,0,9/1/2021,653.51,2550.0,8500.0,0.0,11703.51
26,162077,2126,Match,Non_Exact,25.0,25.0,140105.0,2004.0,1800.0,0.0,0,1800,June-21; July-21; August-21; September-21; October-21; November-21,8/24/2021,581.94,5400.0,3600.0,0.0,9581.94
27,162083,2116,Match,Non_Exact,25.0,25.0,101101.0,1002.0,700.0,0.0,0,700,0,8/20/2021,1500.0,0.0,0.0,0.0,1500.0
28,162084,2122,Match,Non_Exact,25.0,25.0,92000.0,2005.0,3080.0,0.0,104,3080,0,8/20/2021,0.0,6000.0,3750.0,0.0,9750.0
29,162086,2126,Match,Non_Exact,25.0,25.0,91900.0,3000.0,1823.4,0.0,0,1823.4,September-21; October-21; November-21,8/17/2021,0.0,747.0,1823.0,0.0,2570.0
30,162087,2126,No_Match,0,0.0,0.0,101101.0,3002.0,7100.0,0.0,0,7100,February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,9/6/2021,424.57,1778.0,9992.0,0.0,12194.57
31,162089,2130,Match,Non_Exact,25.0,25.0,10702.0,3005.0,0.0,0.0,1516,0,September-21; October-21; November-21; December-21,8/19/2021,0.0,3760.0,0.0,4500.0,8260.0
32,162140,2126,No_Match,0,0.0,0.0,981100.0,3005.0,3150.0,0.0,1248,3150,September-21; October-21; November-21,8/11/2021,0.0,7350.0,3150.0,0.0,10500.0
33,162144,2124,Match,Non_Exact,25.0,25.0,120500.0,2002.0,0.0,0.0,0,0,0,8/12/2021,0.0,0.0,1233.44,0.0,1233.44
34,162146,2119,Match,Non_Exact,25.0,25.0,140400.0,5006.0,4400.0,0.0,3368,4400,September-20; October-20; November-20; December-20,9/6/2021,0.0,3760.0,2400.0,2400.0,8560.0
35,162147,2119,Match,Non_Exact,25.0,25.0,202.0,2000.0,4000.0,0.0,0,4000,April-21; May-21; June-21; July-21; August-21; September-21,9/14/2021,0.0,0.0,8100.0,0.0,8100.0
36,162148,2122,Match,Non_Exact,25.0,25.0,101102.0,2007.0,4000.0,0.0,1285,4000,October-21; November-21; December-21,9/2/2021,0.0,4705.0,0.0,4705.0,9410.0
37,162150,2131,Match,Non_Exact,25.0,25.0,603.0,1000.0,6000.0,0.0,1023,6000,June-20; July-20; August-20; September-20,9/2/2021,0.0,0.0,6022.17,0.0,6022.17
38,162153,2125,No_Match,0,0.0,0.0,91001.0,4000.0,3204.0,0.0,0,3204,September-21; October-21; November-21,8/10/2021,0.0,4686.0,3238.22,0.0,7924.22
39,162156,2128,Match,Non_Exact,25.0,25.0,91700.0,2001.0,2550.0,0.0,1763,2550,September-21; October-21; November-21,8/17/2021,0.0,0.0,2550.0,0.0,2550.0
40,162158,2121,Match,Non_Exact,25.0,25.0,101102.0,2007.0,10200.0,0.0,2156,10200,August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21,8/18/2021,498.58,0.0,11671.0,0.0,12169.58
41,162159,2120,Match,Non_Exact,25.0,25.0,110401.0,1000.0,0.0,0.0,0,0,September-21; October-21; November-21,0,0.0,2022.0,0.0,0.0,2696.0
42,162160,2124,Match,Non_Exact,25.0,25.0,110502.0,2004.0,468.0,0.0,540,468,June-21; July-21; August-21; September-21,9/3/2021,0.0,0.0,200.0,0.0,200.0
43,162162,2121,Match,Non_Exact,25.0,25.0,81800.0,1003.0,12295.0,0.0,0,12295,September-21; October-21,0,0.0,14700.0,12295.0,0.0,26995.0
44,162164,2135,Match,Non_Exact,25.0,25.0,81302.0,1001.0,1545.0,0.0,0,1545,October-21; November-21; December-21,9/2/2021,0.0,0.0,5880.0,0.0,5880.0
45,162168,2136,Match,Non_Exact,25.0,25.0,80500.0,2006.0,900.0,0.0,0,900,September-21; October-21; November-21,0,0.0,4701.0,900.0,0.0,5601.0
46,162170,2126,Match,Non_Exact,25.0,25.0,10801.0,3002.0,4400.0,0.0,3500,4400,July-21; August-21; September-21; October-21; November-21,8/23/2021,0.0,6600.0,4400.0,0.0,11000.0
47,162172,2128,No_Match,0,0.0,0.0,51200.0,1002.0,4880.0,0.0,4000,4880,June-21; July-21,9/24/2021,845.88,0.0,5244.88,0.0,6090.76
48,162173,2131,Match,Non_Exact,25.0,25.0,506.0,1007.0,0.0,0.0,0,0,September-21; October-21; November-21,8/10/2021,0.0,6510.0,0.0,0.0,6510.0
49,162174,2130,No_Match,0,0.0,0.0,120301.0,1001.0,5400.0,0.0,0,5400,September-21; October-21; November-21,0,774.63,11274.63,5400.0,0.0,17449.26
50,162179,2124,Match,Non_Exact,25.0,25.0,202.0,2000.0,5600.0,0.0,0,5600,February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,9/26/2021,0.0,4050.0,10800.0,0.0,14850.0
51,162180,2136,Match,Non_Exact,25.0,25.0,101102.0,4004.0,800.0,0.0,800,800,July-21; August-21; September-21,9/1/2021,0.0,300.0,800.0,0.0,1100.0
52,162184,2119,Match,Non_Exact,25.0,25.0,91100.0,5003.0,5100.0,0.0,1332,5100,May-21; June-21; July-21; August-21; September-21,9/10/2021,254.8,0.0,8500.0,0.0,8754.8
53,162185,2125,Match,Non_Exact,25.0,25.0,101102.0,3000.0,2100.0,0.0,1178,2100,May-21; June-21; July-21; August-21; September-21,9/21/2021,0.0,0.0,3500.0,0.0,3500.0
54,162187,2215,Match,Non_Exact,25.0,25.0,90600.0,1010.0,11475.0,1786.22,2000,13261.22,0,8/17/2021,1500.0,0.0,11475.0,0.0,12975.0
55,162259,2127,No_Match,0,0.0,0.0,60700.0,1005.0,654.0,2434.46,794,3088.46,June-21; July-21; August-21; September-21; October-21; November-21,8/13/2021,2435.01,1308.0,654.0,0.0,4397.01
56,162262,2121,Match,Non_Exact,25.0,25.0,101102.0,4004.0,9600.0,0.0,1900,9600,December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21,9/14/2021,0.0,578.0,14422.0,0.0,15000.0
