id,notes,original_zip,manual_match_zip,match,match_kind,state_code,county_code,tract_code,block_code,Rental Relief Fund: How much rent do you owe due to COVID-19,Rental Relief Fund: How much do you owe on utilities listed?,Rental Relief Fund: Total Monthly Income all sources,Rental Relief Gap,Months of Assistance Awarded,Date of Final Decision,Utility Payments - Amount obtained ($),Future Stipend - Amount obtained ($),Rental Arrears - Amount obtained ($),Moving Costs - Amount obtained ($),Total RRF Award
161733,,2121,,Match,Non_Exact,25,25,10802,2001,$0.00 ,$0.00 ,$0.00 ,$0.00 ,July-21; August-21; September-21; October-21; November-21,,$197.88 ,"$6,000.00 ","$2,000.00 ",,"$8,197.88 "
161811,,2124,,Match,Non_Exact,25,25,701,3010,"$3,200.00 ",$299.11 ,"$1,203.00 ","$3,499.11 ",21-Apr,4/7/21,,,"$3,200.00 ",,"$3,200.00 "
161824,,2126,,Match,Non_Exact,25,25,92400,4001,,"$1,724.21 ",$794.00 ,"$1,724.21 ",,,"$1,500.00 ",,,,"$1,500.00 "
161837,,2128,,Match,Non_Exact,25,25,10802,2003,"$30,600.00 ",$0.00 ,"$1,000.00 ","$30,600.00 ",May-21; June-21; July-21; August-21; September-21,,,,"$15,000.00 ",,"$15,000.00 "
161839,,,2128,No_Match,,,,50700,1001,"$1,501.00 ",$0.00 ,"$1,192.00 ","$1,501.00 ",September-21; October-21; November-21,8/17/21,,"$4,500.00 ","$1,501.00 ",,"$6,001.00 "
161840,,2124,,Match,Non_Exact,25,25,101102,3003,"$5,833.00 ",$0.00 ,$0.00 ,"$5,833.00 ",June-21; July-21; August-21,9/3/21,,"$2,085.00 ","$5,833.00 ",,"$7,918.00 "
161841,,2119,,Match,Non_Exact,25,25,92000,4001,"$6,000.00 ",$0.00 ,$0.00 ,"$6,000.00 ",,9/15/21,,"$3,779.00 ",,"$4,800.00 ","$8,579.00 "
161842,,2119,,Match,Non_Exact,25,25,92400,4005,"$1,700.00 ",$0.00 ,$0.00 ,"$1,700.00 ",,,"$1,500.00 ",,,,"$1,500.00 "
161845,,2130,,Match,Non_Exact,25,25,100200,3000,"$6,710.00 ",$0.00 ,"$2,201.00 ","$19,610.00 ",September-21; October-21; November-21,8/17/21,,"$6,450.00 ","$6,750.00 ",,"$13,200.00 "
161886,,2121,,Match,Non_Exact,25,25,92000,2001,"$1,903.00 ",$0.00 ,$800.00 ,"$1,903.00 ",August-21; September-21; October-21; November-21,9/2/21,,"$8,625.00 ","$1,903.00 ",,"$10,528.00 "
